trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
17,1,3 digits,six hundred and twenty nine,swap_1_2,629,1,269,right,1.536
16,1,3 digits,three hundred and sixty eight,swap_2_3,368,0,386,right,1.21
19,1,3 digits,two hundred and seventy five,swap_2_3,275,1,257,right,0.94
8,1,2 digits,twenty four,none,24,1,42,left,1.505
5,1,2 digits,seventy five,none,75,1,57,right,2.24
15,1,3 digits,seven hundred and forty five,swap_1_2,745,1,475,right,3.746
