framenum,time,gaze_pos.ordinal,gaze_pos.onset,gaze_pos.offset,AOI,trials.ordinal,trials.onset,trials.offset,trials.number
128,104491,116,104482,104515,r,1,100300,104890,52
129,104524,117,104516,104549,r,1,100300,104890,52
130,104557,118,104550,104583,r,1,100300,104890,52
131,104590,119,104584,104617,r,1,100300,104890,52
132,104623,120,104618,104651,r,1,100300,104890,52
133,104656,121,104652,104685,r,1,100300,104890,52
134,104689,122,104686,104719,r,1,100300,104890,52
135,104722,123,104720,104753,r,1,100300,104890,52
136,104755,124,104754,104787,r,1,100300,104890,52
137,104788,125,104788,104821,r,1,100300,104890,52
138,104821,125,104788,104821,r,1,100300,104890,52
139,104854,126,104822,104856,r,1,100300,104890,52
140,104887,,,,,1,100300,104890,52
141,104920,,,,,,,,
142,104953,,,,,,,,
143,104986,,,,,,,,
144,105019,,,,,,,,
145,105052,,,,,,,,
146,105085,,,,,,,,
147,105118,,,,,,,,
148,105151,,,,,,,,
149,105184,,,,,,,,
150,105217,,,,,,,,
151,105250,,,,,,,,
152,105283,,,,,,,,
153,105316,,,,,,,,
154,105349,,,,,,,,
155,105382,,,,,,,,
156,105415,,,,,,,,
157,105448,,,,,,,,
158,105481,,,,,,,,
159,105514,,,,,,,,
160,105547,,,,,,,,
161,105580,,,,,,,,
162,105613,,,,,,,,
163,105646,,,,,,,,
164,105679,,,,,,,,
165,105712,,,,,,,,
166,105745,,,,,,,,
167,105778,,,,,,,,
168,105811,,,,,,,,
169,105844,,,,,,,,
170,105877,,,,,,,,
171,105910,,,,,,,,
172,105943,,,,,,,,
173,105976,,,,,,,,
174,106009,,,,,,,,
175,106042,,,,,,,,
176,106075,,,,,,,,
177,106108,,,,,,,,
178,106141,,,,,,,,
179,106174,,,,,,,,
180,106207,,,,,,,,
181,106240,,,,,,,,
182,106273,,,,,,,,
183,106306,,,,,,,,
184,106339,,,,,,,,
185,106372,,,,,,,,
186,106405,,,,,,,,
187,106438,,,,,,,,
188,106471,,,,,,,,
189,106504,,,,,,,,
190,106537,,,,,,,,
191,106570,,,,,,,,
192,106603,,,,,,,,
193,106636,,,,,,,,
194,106669,,,,,,,,
195,106702,,,,,,,,
196,106735,,,,,,,,
197,106768,,,,,,,,
198,106801,,,,,,,,
199,106834,,,,,,,,
200,106867,,,,,,,,
201,106900,,,,,,,,
202,106933,,,,,,,,
203,106966,,,,,,,,
204,106999,,,,,,,,
205,107032,,,,,,,,
206,107065,,,,,,,,
207,107098,,,,,,,,
208,107131,,,,,,,,
209,107164,,,,,,,,
210,107197,,,,,,,,
211,107230,,,,,,,,
212,107263,,,,,,,,
213,107296,,,,,,,,
214,107329,,,,,,,,
215,107362,,,,,,,,
216,107395,,,,,,,,
217,107428,,,,,,,,
218,107461,,,,,,,,
219,107494,,,,,,,,
220,107527,,,,,,,,
221,107560,,,,,,,,
222,107593,,,,,,,,
223,107626,,,,,,,,
224,107659,,,,,,,,
225,107692,,,,,,,,
226,107725,,,,,,,,
227,107758,,,,,,,,
228,107791,,,,,,,,
229,107824,,,,,,,,
230,107857,,,,,,,,
231,107890,,,,,,,,
232,107923,,,,,,,,
233,107956,,,,,,,,
234,107989,,,,,,,,
235,108022,,,,,,,,
236,108055,,,,,,,,
237,108088,,,,,,,,
238,108121,,,,,,,,
239,108154,,,,,,,,
240,108187,,,,,,,,
241,108220,,,,,,,,
242,108253,,,,,,,,
243,108286,,,,,,,,
244,108319,,,,,,,,
245,108352,,,,,,,,
246,108385,,,,,,,,
247,108418,,,,,,,,
248,108451,,,,,,,,
249,108484,,,,,,,,
250,108517,,,,,,,,
251,108550,,,,,,,,
252,108583,,,,,,,,
253,108616,,,,,,,,
254,108649,,,,,,,,
255,108682,,,,,,,,
256,108715,,,,,,,,
257,108748,,,,,,,,
258,108781,,,,,,,,
259,108814,,,,,,,,
260,108847,,,,,,,,
261,108880,,,,,,,,
262,108913,,,,,,,,
263,108946,,,,,,,,
264,108979,,,,,,,,
265,109012,,,,,,,,
266,109045,,,,,,,,
267,109078,,,,,,,,
268,109111,,,,,,,,
269,109144,,,,,,,,
270,109177,,,,,,,,
271,109210,,,,,,,,
272,109243,,,,,,,,
273,109276,,,,,,,,
274,109309,,,,,,,,
275,109342,,,,,,,,
276,109375,,,,,,,,
277,109408,,,,,,,,
278,109441,,,,,,,,
279,109474,,,,,,,,
280,109507,,,,,,,,
281,109540,,,,,,,,
282,109573,,,,,,,,
283,109606,,,,,,,,
284,109639,,,,,,,,
285,109672,,,,,,,,
286,109705,,,,,,,,
287,109738,,,,,,,,
288,109771,,,,,,,,
289,109804,,,,,,,,
290,109837,,,,,,,,
291,109870,,,,,,,,
292,109903,,,,,,,,
293,109936,,,,,,,,
294,109969,,,,,,,,
295,110002,,,,,,,,
