trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
14,1,3 digits,four hundred and thirty eight,swap_1_3,438,1,834,left,1.019
12,1,3 digits,one hundred and eighty two,swap_2_3,182,1,128,left,0.937
2,1,2 digits,eighty nine,none,89,1,98,left,1.121
19,1,3 digits,two hundred and seventy five,swap_2_3,275,1,257,right,2.383
18,1,3 digits,eight hundred and thirty six,swap_1_3,836,1,638,left,0.974
9,1,2 digits,thirty seven,none,37,1,73,right,0.937
