Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
1027,232089,232121,"l",
1028,232122,232154,"l",
1029,232155,232187,"l",
1030,232188,232220,"l",
1031,232221,232253,"l",
1032,232254,232286,"l",
1033,232287,232319,"l",
1034,232320,232352,"l",
1035,232353,232385,"l",
1036,232386,232418,"l",
1037,232419,232451,"l",
1038,232452,232484,"l",
1039,232485,232517,"m",
1040,232518,232550,"m",
1041,232551,232583,"m",
1042,232584,232616,"m",
1043,232617,232649,"m",
1044,232650,232682,"m",
1045,232683,232715,"m",
1046,232716,232748,"m",
1047,232749,232781,"m",
1048,232782,232814,"m",
1049,232815,232847,"m",
1050,232848,232880,"m",
1051,232881,232913,"m",
1052,232914,232946,"m",
1053,232947,232979,"m",
1054,232980,233012,"m",
1055,233013,233045,"m",
1056,233046,233078,"m",
1057,233079,233111,"m",
1058,233112,233144,"l",
1059,233145,233177,"l",
1060,233178,233210,"l",
1061,233211,233243,"l",
1062,233244,233276,"l",
1063,233277,233309,"l",
1064,233310,233342,"l",
1065,233343,233375,"l",
1066,233376,233408,"l",
1067,233409,233441,"l",
1068,233442,233474,"l",
1069,233475,233507,"l",
1070,233508,233540,"l",
1071,233541,233573,"l",
1072,233574,233606,"l",
1073,233607,233639,"l",
1074,233640,233672,"l",
1075,233673,233705,"l",
1076,233706,233738,"l",
1077,233739,233771,"l",
1078,233772,233804,"l",
1079,233805,233837,"l",
1080,233838,233870,"l",
1081,233871,233903,"l",
1082,233904,233936,"l",
1083,233937,233969,"l",
1084,233970,234002,"l",
1085,234003,234035,"l",
1086,234036,234068,"l",
1087,234069,234101,"l",
1088,234102,234134,"l",
1089,234135,234167,"l",
1090,234168,234200,"l",
1091,234201,234233,"l",
1092,234234,234266,"l",
1093,234267,234299,"l",
1094,234300,234332,"l",
1095,234333,234365,"i",
1096,234366,234398,"n",
1097,234399,234431,"n",
1098,234432,234464,"n",
1099,234465,234497,"n",
1100,234498,234530,"n",
1101,234531,234563,"n",
1102,234564,234596,"n",
1103,234597,234629,"n",
1104,234630,234662,"n",
1105,234663,234695,"n",
1106,234696,234728,"n",
1107,234729,234761,"n",
1108,234762,234794,"n",
1109,234795,234827,"n",
1110,234828,234860,"n",
1111,234861,234893,"n",
1112,234894,234926,"n",
1113,234927,234959,"n",
1114,234960,234992,"n",
1115,234993,235025,"n",
1116,235026,235058,"n",
