"","word_onset","word_offset","word","number","Word_Onset","Word_Offset","Word_Duration"
"1",77.133923,77.47685,"four",438,77133.923,77476.85,342.927000000011
"2",77.47685,77.864628,"hundred",438,77476.85,77864.628,387.777999999991
"3",77.864628,78.093706,"and",438,77864.628,78093.706,229.077999999994
"4",78.093706,78.564284,"thirty",438,78093.706,78564.284,470.578000000009
"5",78.564284,78.870642,"eight",438,78564.284,78870.642,306.358000000007
"6",92.902393,93.102209,"eight",836,92902.393,93102.209,199.816000000006
"7",93.102209,93.571989,"hundred",836,93102.209,93571.989,469.779999999999
"8",93.571989,93.71441,"and",836,93571.989,93714.41,142.421000000002
"9",93.71441,94.223516,"thirty",836,93714.41,94223.516,509.106
"10",94.223516,95.030219,"six",836,94223.516,95030.219,806.702999999994
"11",119.028388,119.375456,"twenty",27,119028.388,119375.456,347.067999999999
"12",119.375456,120.269,"seven",27,119375.456,120269,893.543999999994
"13",136.257579,136.653636,"fourty",48,136257.579,136653.636,396.057000000001
"14",136.653636,137.078674,"eight",48,136653.636,137078.674,425.038
"15",152.690264,153.143263,"thirty",36,152690.264,153143.263,452.998999999953
"16",153.143263,153.481984,"six",36,153143.263,153481.984,338.72100000002
"17",177.71291,177.977639,"one",153,177712.91,177977.639,264.729000000021
"18",177.978461,178.357467,"hundred",153,177978.461,178357.467,379.005999999994
"19",178.357467,178.661659,"and",153,178357.467,178661.659,304.191999999981
"20",178.661659,179.154943,"fifty",153,178661.659,179154.943,493.284000000014
"21",179.154943,179.683579,"three",153,179154.943,179683.579,528.635999999999
"22",215.851151,216.591077,"sixty",69,215851.151,216591.077,739.926000000036
"23",216.591077,217.10327,"nine",69,216591.077,217103.27,512.192999999999
"24",262.956471,263.407004,"nine",941,262956.471,263407.004,450.532999999938
"25",263.407004,263.70133,"hundred",941,263407.004,263701.33,294.326000000001
"26",263.70133,263.938106,"and",941,263701.33,263938.106,236.776000000071
"27",263.938106,264.494695,"fourty",941,263938.106,264494.695,556.588999999978
"28",264.494695,265.102256,"one",941,264494.695,265102.256,607.560999999987
"29",288.164921,288.551327,"five",596,288164.921,288551.327,386.406000000017
"30",288.551327,288.98295,"hundred",596,288551.327,288982.95,431.623000000021
"31",288.98295,289.167109,"and",596,288982.95,289167.109,184.158999999985
"32",289.167109,289.540361,"ninety",596,289167.109,289540.361,373.252000000037
