"","word_onset","word_offset","word","number","Word_Onset","Word_Offset","Word_Duration"
"33",289.540361,290.313994,"six",596,289540.361,290313.994,773.632999999973
"34",326.847419,327.364545,"eighty",84,326847.419,327364.545,517.126000000047
"35",327.364545,327.834809,"four",84,327364.545,327834.809,470.263999999966
"36",347.505325,348.061914,"thirty",37,347505.325,348061.914,556.588999999978
"37",348.061914,348.620969,"seven",37,348061.914,348620.969,559.054999999993
"38",369.139111,369.458923,"two",275,369139.111,369458.923,319.811999999976
"39",369.458923,370.009757,"hundred",275,369458.923,370009.757,550.833999999973
"40",370.010579,370.241189,"and",275,370010.579,370241.189,230.609999999986
"41",370.243244,370.632939,"seventy",275,370243.244,370632.939,389.695000000007
"42",370.632939,371.10978,"five",275,370632.939,371109.78,476.841000000015
"43",412.560423,413.336522,"seventy",75,412560.423,413336.522,776.098999999987
"44",413.336522,413.86598,"five",75,413336.522,413865.98,529.457999999984
"45",457.843059,458.287836,"six",629,457843.059,458287.836,444.777000000002
"46",458.288658,458.744946,"hundred",629,458288.658,458744.946,456.288000000059
"47",458.744946,458.958702,"and",629,458744.946,458958.702,213.755999999936
"48",458.958702,459.427322,"twenty",629,458958.702,459427.322,468.619999999995
"49",459.427322,459.949381,"nine",629,459427.322,459949.381,522.059000000008
"50",473.998105,474.694457,"sixty",67,473998.105,474694.457,696.352000000014
"51",474.694457,475.325039,"seven",67,474694.457,475325.039,630.581999999995
"52",491.453777,491.888689,"fifty",52,491453.777,491888.689,434.912000000011
"53",491.888689,492.384439,"two",52,491888.689,492384.439,495.75
"54",512.912447,513.261034,"one",182,512912.447,513261.034,348.586999999941
"55",513.261856,513.690191,"hundred",182,513261.856,513690.191,428.335000000079
"56",513.690191,513.922856,"and",182,513690.191,513922.856,232.664999999979
"57",513.922856,514.363523,"eighty",182,513922.856,514363.523,440.666999999958
"58",514.363523,514.839542,"two",182,514363.523,514839.542,476.019000000088
"59",531.163949,531.454165,"four",492,531163.949,531454.165,290.216000000015
"60",531.454165,531.812618,"hundred",492,531454.165,531812.618,358.45299999998
"61",531.812618,532.035418,"and",492,531812.618,532035.418,222.800000000047
"62",532.035418,532.590362,"ninty",492,532035.418,532590.362,554.944000000018
"63",532.590362,533.01623,"two",492,532590.362,533016.23,425.8679999999
"64",577.593471,578.170202,"ninty",93,577593.471,578170.202,576.731000000029
"65",578.170202,578.701715,"three",93,578170.202,578701.715,531.513000000035
"66",594.66027,594.991592,"three",368,594660.27,594991.592,331.321999999927
"67",594.991592,595.316338,"hundred",368,594991.592,595316.338,324.746000000043
"68",595.31716,595.530916,"and",368,595317.16,595530.916,213.756000000169
"69",595.530916,596.032421,"sixty",368,595530.916,596032.421,501.504999999888
"70",596.032421,596.527349,"eight",368,596032.421,596527.349,494.927999999956
"71",611.363684,611.613614,"five",574,611363.684,611613.614,249.929999999935
"72",611.613614,612.072368,"hundred",574,611613.614,612072.368,458.754000000074
"73",612.072368,612.282014,"and",574,612072.368,612282.014,209.64599999995
"74",612.282014,612.960279,"seventy",574,612282.014,612960.279,678.265000000014
"75",612.960279,613.4141,"four",574,612960.279,613414.1,453.820999999996
"76",628.904036,629.542016,"twenty",24,628904.036,629542.016,637.979999999981
"77",629.542016,630.018035,"four",24,629542.016,630018.035,476.019000000088
"78",653.64962,654.137149,"eighty",89,653649.62,654137.149,487.52899999998
"79",654.137149,654.641943,"nine",89,654137.149,654641.943,504.793999999994
"80",680.470286,680.941372,"seven",745,680470.286,680941.372,471.08600000001
"81",680.941372,681.316268,"hundred",745,680941.372,681316.268,374.896000000066
"82",681.316268,681.614705,"and",745,681316.268,681614.705,298.436999999918
"83",681.614705,682.130186,"fourty",745,681614.705,682130.186,515.481000000029
"84",682.130186,682.589762,"five",745,682130.186,682589.762,459.576000000001
