680.470286	680.941372	seven
680.941372	681.316268	hundred
681.316268	681.614705	and
681.614705	682.130186	fourty
682.130186	682.589762	five
653.649620	654.137149	eighty
654.137149	654.641943	nine
628.904036	629.542016	twenty
629.542016	630.018035	four
611.363684	611.613614	five
611.613614	612.072368	hundred
612.072368	612.282014	and
612.282014	612.960279	seventy
612.960279	613.414100	four
594.660270	594.991592	three
594.991592	595.316338	hundred
595.317160	595.530916	and
595.530916	596.032421	sixty
596.032421	596.527349	eight
577.593471	578.170202	ninty
578.170202	578.701715	three
531.163949	531.454165	four
531.454165	531.812618	hundred
531.812618	532.035418	and
532.035418	532.590362	ninty
532.590362	533.016230	two
512.912447	513.261034	one
513.261856	513.690191	hundred
513.690191	513.922856	and
513.922856	514.363523	eighty
514.363523	514.839542	two
491.453777	491.888689	fifty
491.888689	492.384439	two
473.998105	474.694457	sixty
474.694457	475.325039	seven
457.843059	458.287836	six
458.288658	458.744946	hundred
458.744946	458.958702	and
458.958702	459.427322	twenty
459.427322	459.949381	nine
412.560423	413.336522	seventy
413.336522	413.865980	five
369.139933	369.458923	two
369.458923	370.009757	hundred
370.009757	370.243244	and
370.243244	370.632939	seventy
370.632939	371.108958	five
347.505325	348.061914	thirty
348.061914	348.620969	seven
369.139111	369.458923	two
369.458923	370.009757	hundred
370.010579	370.241189	and
370.242422	370.632939	seventy
370.632939	371.109780	five
326.847419	327.364545	eighty
327.364545	327.834809	four
288.164921	288.551327	five
288.551327	288.982950	hundred
288.982950	289.167109	and
289.167109	289.540361	ninety
289.540361	290.313994	six
262.956471	263.407004	nine
263.407004	263.701330	hundred
263.701330	263.938106	and
263.938106	264.494695	fourty
264.494695	265.102256	one
215.851151	216.591077	sixty
216.591077	217.103270	nine
177.712910	177.977639	one 
177.978461	178.357467	hundred
178.357467	178.661659	and
178.661659	179.154943	fifty
179.154943	179.683579	three
152.690264	153.143263	thirty
153.143263	153.481984	six
136.257579	136.653636	fourty
136.653636	137.078674	eight
119.028388	119.375456	twenty
119.375456	120.269000	seven
92.902393	93.102209	eight
93.102209	93.571989	hundred
93.571989	93.714410	and
93.714410	94.223516	thirty
94.223516	95.030219	six
77.133923	77.476850	four
77.476850	77.864628	hundred
77.864628	78.093706	and
78.093706	78.564284	thirty
78.564284	78.870642	eight
