word_onset,word_offset,word,number
77.133923,77.47685,four,438
77.47685,77.864628,hundred,438
77.864628,78.093706,and,438
78.093706,78.564284,thirty,438
78.564284,78.870642,eight,438
92.902393,93.102209,eight,836
93.102209,93.571989,hundred,836
93.571989,93.71441,and,836
93.71441,94.223516,thirty,836
94.223516,95.030219,six,836
119.028388,119.375456,twenty,27
119.375456,120.269,seven,27
136.257579,136.653636,fourty,48
136.653636,137.078674,eight,48
152.690264,153.143263,thirty,36
153.143263,153.481984,six,36
177.71291,177.977639,one ,153
177.978461,178.357467,hundred,153
178.357467,178.661659,and,153
178.661659,179.154943,fifty,153
179.154943,179.683579,three,153
215.851151,216.591077,sixty,69
216.591077,217.10327,nine,69
262.956471,263.407004,nine,941
263.407004,263.70133,hundred,941
263.70133,263.938106,and,941
263.938106,264.494695,fourty,941
264.494695,265.102256,one,941
288.164921,288.551327,five,596
288.551327,288.98295,hundred,596
288.98295,289.167109,and,596
289.167109,289.540361,ninety,596
289.540361,290.313994,six,596
326.847419,327.364545,eighty,84
327.364545,327.834809,four,84
347.505325,348.061914,thirty,37
348.061914,348.620969,seven,37
369.139111,369.458923,two,275
369.458923,370.009757,hundred,275
370.010579,370.241189,and,275
370.243244,370.632939,seventy,275
370.632939,371.10978,five,275
412.560423,413.336522,seventy,75
413.336522,413.86598,five,75
457.843059,458.287836,six,629
458.288658,458.744946,hundred,629
458.744946,458.958702,and,629
458.958702,459.427322,twenty,629
459.427322,459.949381,nine,629
473.998105,474.694457,sixty,67
474.694457,475.325039,seven,67
491.453777,491.888689,fifty,52
491.888689,492.384439,two,52
512.912447,513.261034,one,182
513.261856,513.690191,hundred,182
513.690191,513.922856,and,182
513.922856,514.363523,eighty,182
514.363523,514.839542,two,182
531.163949,531.454165,four,492
531.454165,531.812618,hundred,492
531.812618,532.035418,and,492
532.035418,532.590362,ninty,492
532.590362,533.01623,two,492
577.593471,578.170202,ninty,93
578.170202,578.701715,three,93
594.66027,594.991592,three,368
594.991592,595.316338,hundred,368
595.31716,595.530916,and,368
595.530916,596.032421,sixty,368
596.032421,596.527349,eight,368
611.363684,611.613614,five,574
611.613614,612.072368,hundred,574
612.072368,612.282014,and,574
612.282014,612.960279,seventy,574
612.960279,613.4141,four,574
628.904036,629.542016,twenty,24
629.542016,630.018035,four,24
653.64962,654.137149,eighty,89
654.137149,654.641943,nine,89
680.470286,680.941372,seven,745
680.941372,681.316268,hundred,745
681.316268,681.614705,and,745
681.614705,682.130186,fourty,745
682.130186,682.589762,five,745
