framenum,time,Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,Trials.ordinal,Trials.onset,Trials.offset,Trials.number
126,89760,119,89760,89792,l,1,85635,90222,93
127,89793,120,89793,89825,l,1,85635,90222,93
128,89826,121,89826,89858,r,1,85635,90222,93
129,89859,122,89859,89891,r,1,85635,90222,93
130,89892,123,89892,89924,r,1,85635,90222,93
131,89925,124,89925,89957,r,1,85635,90222,93
132,89958,125,89958,89990,r,1,85635,90222,93
133,89991,126,89991,90023,r,1,85635,90222,93
134,90024,127,90024,90056,r,1,85635,90222,93
135,90057,128,90057,90089,r,1,85635,90222,93
136,90090,129,90090,90122,r,1,85635,90222,93
137,90123,130,90123,90155,r,1,85635,90222,93
138,90156,131,90156,90188,r,1,85635,90222,93
139,90189,,,,,1,85635,90222,93
140,90222,,,,,1,85635,90222,93
141,90255,,,,,,,,
142,90288,,,,,,,,
143,90321,,,,,,,,
144,90354,,,,,,,,
145,90387,,,,,,,,
146,90420,,,,,,,,
147,90453,,,,,,,,
148,90486,,,,,,,,
149,90519,,,,,,,,
150,90552,,,,,,,,
151,90585,,,,,,,,
152,90618,,,,,,,,
153,90651,,,,,,,,
154,90684,,,,,,,,
155,90717,,,,,,,,
156,90750,,,,,,,,
157,90783,,,,,,,,
158,90816,,,,,,,,
159,90849,,,,,,,,
160,90882,,,,,,,,
161,90915,,,,,,,,
162,90948,,,,,,,,
163,90981,,,,,,,,
164,91014,,,,,,,,
165,91047,,,,,,,,
166,91080,,,,,,,,
167,91113,,,,,,,,
168,91146,,,,,,,,
169,91179,,,,,,,,
170,91212,,,,,,,,
171,91245,,,,,,,,
172,91278,,,,,,,,
173,91311,,,,,,,,
174,91344,,,,,,,,
175,91377,,,,,,,,
176,91410,,,,,,,,
177,91443,,,,,,,,
178,91476,,,,,,,,
179,91509,,,,,,,,
180,91542,,,,,,,,
181,91575,,,,,,,,
182,91608,,,,,,,,
183,91641,,,,,,,,
184,91674,,,,,,,,
185,91707,,,,,,,,
186,91740,,,,,,,,
187,91773,,,,,,,,
188,91806,,,,,,,,
189,91839,,,,,,,,
190,91872,,,,,,,,
191,91905,,,,,,,,
192,91938,,,,,,,,
193,91971,,,,,,,,
194,92004,,,,,,,,
195,92037,,,,,,,,
196,92070,,,,,,,,
197,92103,,,,,,,,
198,92136,,,,,,,,
199,92169,,,,,,,,
200,92202,,,,,,,,
201,92235,,,,,,,,
202,92268,,,,,,,,
203,92301,,,,,,,,
204,92334,,,,,,,,
205,92367,,,,,,,,
206,92400,,,,,,,,
207,92433,,,,,,,,
208,92466,,,,,,,,
209,92499,,,,,,,,
210,92532,,,,,,,,
211,92565,,,,,,,,
212,92598,,,,,,,,
213,92631,,,,,,,,
214,92664,,,,,,,,
215,92697,,,,,,,,
216,92730,,,,,,,,
217,92763,,,,,,,,
218,92796,,,,,,,,
219,92829,,,,,,,,
220,92862,,,,,,,,
221,92895,,,,,,,,
222,92928,,,,,,,,
223,92961,,,,,,,,
224,92994,,,,,,,,
225,93027,,,,,,,,
226,93060,,,,,,,,
227,93093,,,,,,,,
228,93126,,,,,,,,
229,93159,,,,,,,,
230,93192,,,,,,,,
231,93225,,,,,,,,
232,93258,,,,,,,,
233,93291,,,,,,,,
234,93324,,,,,,,,
235,93357,,,,,,,,
236,93390,,,,,,,,
237,93423,,,,,,,,
238,93456,,,,,,,,
239,93489,,,,,,,,
240,93522,,,,,,,,
