trail_id,condition,num_presentation_type,audio_presentation_context,target_number,foil,response_key,response_time
9,2,decade_digit_swap,Remember this. ,804,840,left,4.722
4,2,decade_digit_swap,Remember this. ,94,49,left,1.29
