frameNumber,time,gazeOnsetTime,gazeOffsetTime,AOI_lable,trialNumber,trialOnset,trialOffset,targetNumber
8,85866,85866,85898,l,1,85635,90222,93
9,85899,85899,85931,l,1,85635,90222,93
10,85932,85932,85964,l,1,85635,90222,93
11,85965,85965,85997,l,1,85635,90222,93
12,85998,85998,86030,l,1,85635,90222,93
13,86031,86031,86063,l,1,85635,90222,93
14,86064,86064,86096,l,1,85635,90222,93
15,86097,86097,86129,l,1,85635,90222,93
16,86130,86130,86162,l,1,85635,90222,93
17,86163,86163,86195,l,1,85635,90222,93
18,86196,86196,86228,l,1,85635,90222,93
19,86229,86229,86261,l,1,85635,90222,93
20,86262,86262,86294,l,1,85635,90222,93
21,86295,86295,86327,l,1,85635,90222,93
22,86328,86328,86360,l,1,85635,90222,93
23,86361,86361,86393,l,1,85635,90222,93
24,86394,86394,86426,l,1,85635,90222,93
25,86427,86427,86459,l,1,85635,90222,93
26,86460,86460,86492,l,1,85635,90222,93
27,86493,86493,86525,l,1,85635,90222,93
28,86526,86526,86558,l,1,85635,90222,93
29,86559,86559,86591,l,1,85635,90222,93
30,86592,86592,86624,l,1,85635,90222,93
31,86625,86625,86657,l,1,85635,90222,93
32,86658,86658,86690,l,1,85635,90222,93
33,86691,86691,86723,l,1,85635,90222,93
34,86724,86724,86756,l,1,85635,90222,93
35,86757,86757,86789,l,1,85635,90222,93
36,86790,86790,86822,l,1,85635,90222,93
37,86823,86823,86855,l,1,85635,90222,93
38,86856,86856,86888,l,1,85635,90222,93
39,86889,86889,86921,l,1,85635,90222,93
40,86922,86922,86954,l,1,85635,90222,93
41,86955,86955,86987,l,1,85635,90222,93
42,86988,86988,87020,l,1,85635,90222,93
43,87021,87021,87053,l,1,85635,90222,93
44,87054,87054,87086,l,1,85635,90222,93
45,87087,87087,87119,l,1,85635,90222,93
46,87120,87120,87152,l,1,85635,90222,93
47,87153,87153,87185,l,1,85635,90222,93
48,87186,87186,87218,l,1,85635,90222,93
49,87219,87219,87251,l,1,85635,90222,93
50,87252,87252,87284,l,1,85635,90222,93
51,87285,87285,87317,l,1,85635,90222,93
52,87318,87318,87350,n,1,85635,90222,93
53,87351,87351,87383,n,1,85635,90222,93
54,87384,87384,87416,n,1,85635,90222,93
55,87417,87417,87449,n,1,85635,90222,93
56,87450,87450,87482,n,1,85635,90222,93
57,87483,87483,87515,n,1,85635,90222,93
58,87516,87516,87548,l,1,85635,90222,93
59,87549,87549,87581,l,1,85635,90222,93
60,87582,87582,87614,l,1,85635,90222,93
61,87615,87615,87647,l,1,85635,90222,93
62,87648,87648,87680,l,1,85635,90222,93
63,87681,87681,87713,l,1,85635,90222,93
64,87714,87714,87746,l,1,85635,90222,93
65,87747,87747,87779,l,1,85635,90222,93
66,87780,87780,87812,l,1,85635,90222,93
67,87813,87813,87845,l,1,85635,90222,93
68,87846,87846,87878,l,1,85635,90222,93
69,87879,87879,87911,l,1,85635,90222,93
70,87912,87912,87944,l,1,85635,90222,93
71,87945,87945,87977,l,1,85635,90222,93
72,87978,87978,88010,l,1,85635,90222,93
73,88011,88011,88043,l,1,85635,90222,93
74,88044,88044,88076,l,1,85635,90222,93
75,88077,88077,88109,l,1,85635,90222,93
76,88110,88110,88142,l,1,85635,90222,93
77,88143,88143,88175,l,1,85635,90222,93
78,88176,88176,88208,l,1,85635,90222,93
79,88209,88209,88241,l,1,85635,90222,93
80,88242,88242,88274,l,1,85635,90222,93
81,88275,88275,88307,l,1,85635,90222,93
82,88308,88308,88340,l,1,85635,90222,93
83,88341,88341,88373,l,1,85635,90222,93
84,88374,88374,88406,l,1,85635,90222,93
85,88407,88407,88439,l,1,85635,90222,93
86,88440,88440,88472,l,1,85635,90222,93
87,88473,88473,88505,l,1,85635,90222,93
88,88506,88506,88538,l,1,85635,90222,93
89,88539,88539,88571,l,1,85635,90222,93
90,88572,88572,88604,l,1,85635,90222,93
91,88605,88605,88637,l,1,85635,90222,93
92,88638,88638,88670,l,1,85635,90222,93
93,88671,88671,88703,l,1,85635,90222,93
94,88704,88704,88736,l,1,85635,90222,93
95,88737,88737,88769,l,1,85635,90222,93
96,88770,88770,88802,l,1,85635,90222,93
97,88803,88803,88835,l,1,85635,90222,93
98,88836,88836,88868,l,1,85635,90222,93
99,88869,88869,88901,l,1,85635,90222,93
100,88902,88902,88934,l,1,85635,90222,93
101,88935,88935,88967,l,1,85635,90222,93
102,88968,88968,89000,l,1,85635,90222,93
103,89001,89001,89033,l,1,85635,90222,93
104,89034,89034,89066,l,1,85635,90222,93
105,89067,89067,89099,l,1,85635,90222,93
106,89100,89100,89132,l,1,85635,90222,93
107,89133,89133,89165,l,1,85635,90222,93
108,89166,89166,89198,l,1,85635,90222,93
109,89199,89199,89231,l,1,85635,90222,93
110,89232,89232,89264,l,1,85635,90222,93
111,89265,89265,89297,l,1,85635,90222,93
112,89298,89298,89330,l,1,85635,90222,93
113,89331,89331,89363,l,1,85635,90222,93
114,89364,89364,89396,l,1,85635,90222,93
115,89397,89397,89429,l,1,85635,90222,93
116,89430,89430,89462,l,1,85635,90222,93
117,89463,89463,89495,l,1,85635,90222,93
118,89496,89496,89528,l,1,85635,90222,93
119,89529,89529,89561,l,1,85635,90222,93
120,89562,89562,89594,l,1,85635,90222,93
121,89595,89595,89627,l,1,85635,90222,93
122,89628,89628,89660,l,1,85635,90222,93
123,89661,89661,89693,l,1,85635,90222,93
124,89694,89694,89726,l,1,85635,90222,93
125,89727,89727,89759,l,1,85635,90222,93
126,89760,89760,89792,l,1,85635,90222,93
127,89793,89793,89825,l,1,85635,90222,93
128,89826,89826,89858,r,1,85635,90222,93
129,89859,89859,89891,r,1,85635,90222,93
130,89892,89892,89924,r,1,85635,90222,93
131,89925,89925,89957,r,1,85635,90222,93
132,89958,89958,89990,r,1,85635,90222,93
133,89991,89991,90023,r,1,85635,90222,93
134,90024,90024,90056,r,1,85635,90222,93
135,90057,90057,90089,r,1,85635,90222,93
136,90090,90090,90122,r,1,85635,90222,93
137,90123,90123,90155,r,1,85635,90222,93
138,90156,90156,90188,r,1,85635,90222,93
605,105567,105567,105599,r,2,104181,108702,84
606,105600,105600,105632,l,2,104181,108702,84
607,105633,105633,105665,l,2,104181,108702,84
608,105666,105666,105698,l,2,104181,108702,84
609,105699,105699,105731,l,2,104181,108702,84
610,105732,105732,105764,l,2,104181,108702,84
611,105765,105765,105797,l,2,104181,108702,84
612,105798,105798,105830,l,2,104181,108702,84
613,105831,105831,105863,l,2,104181,108702,84
614,105864,105864,105896,l,2,104181,108702,84
615,105897,105897,105929,l,2,104181,108702,84
616,105930,105930,105962,l,2,104181,108702,84
617,105963,105963,105995,l,2,104181,108702,84
618,105996,105996,106028,l,2,104181,108702,84
619,106029,106029,106061,l,2,104181,108702,84
620,106062,106062,106094,l,2,104181,108702,84
621,106095,106095,106127,l,2,104181,108702,84
622,106128,106128,106160,l,2,104181,108702,84
623,106161,106161,106193,l,2,104181,108702,84
624,106194,106194,106226,l,2,104181,108702,84
625,106227,106227,106259,l,2,104181,108702,84
626,106260,106260,106292,l,2,104181,108702,84
627,106293,106293,106325,l,2,104181,108702,84
628,106326,106326,106358,l,2,104181,108702,84
629,106359,106359,106391,l,2,104181,108702,84
630,106392,106392,106424,l,2,104181,108702,84
631,106425,106425,106457,l,2,104181,108702,84
632,106458,106458,106490,l,2,104181,108702,84
633,106491,106491,106523,l,2,104181,108702,84
634,106524,106524,106556,l,2,104181,108702,84
635,106557,106557,106589,l,2,104181,108702,84
636,106590,106590,106622,l,2,104181,108702,84
637,106623,106623,106655,l,2,104181,108702,84
638,106656,106656,106688,l,2,104181,108702,84
639,106689,106689,106721,l,2,104181,108702,84
640,106722,106722,106754,l,2,104181,108702,84
641,106755,106755,106787,l,2,104181,108702,84
642,106788,106788,106820,l,2,104181,108702,84
643,106821,106821,106853,l,2,104181,108702,84
644,106854,106854,106886,l,2,104181,108702,84
645,106887,106887,106919,l,2,104181,108702,84
646,106920,106920,106952,l,2,104181,108702,84
647,106953,106953,106985,l,2,104181,108702,84
648,106986,106986,107018,l,2,104181,108702,84
649,107019,107019,107051,l,2,104181,108702,84
650,107052,107052,107084,l,2,104181,108702,84
651,107085,107085,107117,l,2,104181,108702,84
652,107118,107118,107150,l,2,104181,108702,84
653,107151,107151,107183,l,2,104181,108702,84
654,107184,107184,107216,l,2,104181,108702,84
655,107217,107217,107249,l,2,104181,108702,84
656,107250,107250,107282,l,2,104181,108702,84
657,107283,107283,107315,l,2,104181,108702,84
658,107316,107316,107348,l,2,104181,108702,84
659,107349,107349,107381,l,2,104181,108702,84
660,107382,107382,107414,l,2,104181,108702,84
661,107415,107415,107447,l,2,104181,108702,84
662,107448,107448,107480,l,2,104181,108702,84
663,107481,107481,107513,l,2,104181,108702,84
664,107514,107514,107546,l,2,104181,108702,84
665,107547,107547,107579,l,2,104181,108702,84
666,107580,107580,107612,l,2,104181,108702,84
667,107613,107613,107645,l,2,104181,108702,84
668,107646,107646,107678,l,2,104181,108702,84
669,107679,107679,107711,l,2,104181,108702,84
670,107712,107712,107744,l,2,104181,108702,84
671,107745,107745,107777,l,2,104181,108702,84
672,107778,107778,107810,l,2,104181,108702,84
673,107811,107811,107843,l,2,104181,108702,84
674,107844,107844,107876,l,2,104181,108702,84
675,107877,107877,107909,l,2,104181,108702,84
676,107910,107910,107942,l,2,104181,108702,84
677,107943,107943,107975,l,2,104181,108702,84
678,107976,107976,108008,l,2,104181,108702,84
679,108009,108009,108041,l,2,104181,108702,84
680,108042,108042,108074,l,2,104181,108702,84
681,108075,108075,108107,l,2,104181,108702,84
682,108108,108108,108140,l,2,104181,108702,84
683,108141,108141,108173,l,2,104181,108702,84
684,108174,108174,108206,l,2,104181,108702,84
685,108207,108207,108239,l,2,104181,108702,84
686,108240,108240,108272,l,2,104181,108702,84
687,108273,108273,108305,l,2,104181,108702,84
688,108306,108306,108338,l,2,104181,108702,84
689,108339,108339,108371,l,2,104181,108702,84
690,108372,108372,108404,l,2,104181,108702,84
691,108405,108405,108437,l,2,104181,108702,84
692,108438,108438,108470,l,2,104181,108702,84
693,108471,108471,108503,l,2,104181,108702,84
694,108504,108504,108536,l,2,104181,108702,84
695,108537,108537,108569,l,2,104181,108702,84
696,108570,108570,108602,l,2,104181,108702,84
697,108603,108603,108635,l,2,104181,108702,84
698,108636,108636,108668,l,2,104181,108702,84
1098,121836,121836,121868,l,3,121638,126159,745
1099,121869,121869,121901,m,3,121638,126159,745
1100,121902,121902,121934,m,3,121638,126159,745
1101,121935,121935,121967,m,3,121638,126159,745
1102,121968,121968,122000,m,3,121638,126159,745
1103,122001,122001,122033,m,3,121638,126159,745
1104,122034,122034,122066,i,3,121638,126159,745
1105,122067,122067,122099,i,3,121638,126159,745
1106,122100,122100,122132,i,3,121638,126159,745
1107,122133,122133,122165,i,3,121638,126159,745
1108,122166,122166,122198,l,3,121638,126159,745
1109,122199,122199,122231,l,3,121638,126159,745
1110,122232,122232,122264,l,3,121638,126159,745
1111,122265,122265,122297,l,3,121638,126159,745
1112,122298,122298,122330,l,3,121638,126159,745
1113,122331,122331,122363,l,3,121638,126159,745
1114,122364,122364,122396,l,3,121638,126159,745
1115,122397,122397,122429,l,3,121638,126159,745
1116,122430,122430,122462,l,3,121638,126159,745
1117,122463,122463,122495,l,3,121638,126159,745
1118,122496,122496,122528,l,3,121638,126159,745
1119,122529,122529,122561,l,3,121638,126159,745
1120,122562,122562,122594,l,3,121638,126159,745
1121,122595,122595,122627,l,3,121638,126159,745
1122,122628,122628,122660,l,3,121638,126159,745
1123,122661,122661,122693,l,3,121638,126159,745
