trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
0,1,2 digits,twenty seven,none,27,1,72,left,0.746
20,1,3 digits,four hundred ninty two,swap_2_3,492,1,429,left,0.811
11,1,2 digits,sixty nine,none,69,1,96,right,0.807
23,1,3 digits,one hundred fifty nine,swap_2_3,159,1,195,right,0.759
6,1,2 digits,eighty four,none,84,1,48,left,0.643
4,1,2 digits,sixty seven,none,67,0,76,escape,1.146
