"","word_onset","word_offset","word","number","Word_Onset","Word_Offset","Word_Duration"
"80",333.789607,334.418882,"number",745,333789.607,334418.882,629.274999999965
"81",349.653053,349.928599,"look",438,349653.053,349928.599,275.546000000031
"82",349.928599,350.059221,"at",438,349928.599,350059.221,130.621999999916
"83",350.059221,350.40564,"this",438,350059.221,350405.64,346.419000000053
"84",350.40564,350.593787,"new",438,350405.64,350593.787,188.146999999997
"85",350.593787,351.210349,"number",438,350593.787,351210.349,616.561999999976
"86",368.537654,368.8132,"look",941,368537.654,368813.2,275.546000000031
"87",368.8132,368.943822,"at",941,368813.2,368943.822,130.621999999974
"88",368.943822,369.290241,"this",941,368943.822,369290.241,346.418999999994
"89",369.290241,369.478388,"new",941,369290.241,369478.388,188.146999999997
"90",369.478388,370.09495,"number",941,369478.388,370094.95,616.562000000034
"91",416.353641,416.809388,"look",93,416353.641,416809.388,455.747000000032
"92",417.159621,417.419594,"here",93,417159.621,417419.594,259.972999999998
"93",417.419594,417.487607,"is",93,417419.594,417487.607,68.0129999999772
"94",417.487607,417.674482,"a",93,417487.607,417674.482,186.875
"95",417.674482,418.303757,"number",93,417674.482,418303.757,629.275000000023
"96",431.358349,431.814096,"look",52,431358.349,431814.096,455.747000000032
"97",432.164329,432.424302,"here",52,432164.329,432424.302,259.972999999998
"98",432.424302,432.492315,"is",52,432424.302,432492.315,68.0129999999772
"99",432.492315,432.67919,"a",52,432492.315,432679.19,186.875
"100",432.67919,433.308465,"number",52,432679.19,433308.465,629.275000000023
"101",464.636181,465.091928,"look",596,464636.181,465091.928,455.746999999974
"102",465.442161,465.702134,"here",596,465442.161,465702.134,259.972999999998
"103",465.702134,465.770147,"is",596,465702.134,465770.147,68.0129999999772
"104",465.770147,465.957022,"a",596,465770.147,465957.022,186.875
"105",465.957022,466.586297,"number",596,465957.022,466586.297,629.275000000023
"106",485.920289,486.376036,"look",69,485920.289,486376.036,455.746999999974
"107",486.726269,486.986242,"here",69,486726.269,486986.242,259.972999999998
"108",486.986242,487.054255,"is",69,486986.242,487054.255,68.0129999999772
"109",487.054255,487.24113,"a",69,487054.255,487241.13,186.875
"110",487.24113,487.870405,"number",69,487241.13,487870.405,629.275000000023
"111",501.450664,501.906412,"look",37,501450.664,501906.412,455.748000000021
"112",502.256644,502.516618,"here",37,502256.644,502516.618,259.974000000046
"113",502.516618,502.58463,"is",37,502516.618,502584.63,68.0119999999879
"114",502.58463,502.771506,"a",37,502584.63,502771.506,186.875999999989
"115",502.771506,503.40078,"number",37,502771.506,503400.78,629.273999999976
"116",518.575838,518.851384,"look",368,518575.838,518851.384,275.546000000089
"117",518.851384,518.982006,"at",368,518851.384,518982.006,130.621999999858
"118",518.982006,519.328425,"this",368,518982.006,519328.425,346.419000000111
"119",519.328425,519.516572,"new",368,519328.425,519516.572,188.146999999939
"120",519.516572,520.133134,"number",368,519516.572,520133.134,616.562000000034
