"","nFrame","time","gaze_pos.ordinal","gaze_pos.onset","gaze_pos.offset","AOI","trials.ordinal","trials.onset","trials.offset","trials.number","trial_duration"
"1",1,90746,1,90746,90779,"not looking",1,90746,95300,24,4554
"2",2,90779,1,90746,90779,"not looking",1,90746,95300,24,4554
"3",3,90812,2,90780,90813,"not looking",1,90746,95300,24,4554
"4",4,90845,3,90814,90847,"not looking",1,90746,95300,24,4554
"5",5,90878,4,90848,90881,"not looking",1,90746,95300,24,4554
"6",6,90911,5,90882,90915,"not looking",1,90746,95300,24,4554
"7",7,90944,6,90916,90949,"not looking",1,90746,95300,24,4554
"8",8,90977,7,90950,90983,"not looking",1,90746,95300,24,4554
"9",9,91010,8,90984,91017,"right",1,90746,95300,24,4554
"10",10,91043,9,91018,91051,"right",1,90746,95300,24,4554
"11",11,91076,10,91052,91085,"right",1,90746,95300,24,4554
"12",12,91109,11,91086,91119,"right",1,90746,95300,24,4554
"13",13,91142,12,91120,91153,"right",1,90746,95300,24,4554
"14",14,91175,13,91154,91187,"left",1,90746,95300,24,4554
"15",15,91208,14,91188,91221,"right",1,90746,95300,24,4554
"16",16,91241,15,91222,91255,"right",1,90746,95300,24,4554
"17",17,91274,16,91256,91289,"right",1,90746,95300,24,4554
"18",18,91307,17,91290,91323,"right",1,90746,95300,24,4554
"19",19,91340,18,91324,91357,"right",1,90746,95300,24,4554
"20",20,91373,19,91358,91391,"left",1,90746,95300,24,4554
"21",21,91406,20,91392,91425,"left",1,90746,95300,24,4554
"22",22,91439,21,91426,91459,"left",1,90746,95300,24,4554
"23",23,91472,22,91460,91493,"left",1,90746,95300,24,4554
"24",24,91505,23,91494,91527,"left",1,90746,95300,24,4554
"25",25,91538,24,91528,91561,"left",1,90746,95300,24,4554
"26",26,91571,25,91562,91595,"left",1,90746,95300,24,4554
"27",27,91604,26,91596,91629,"left",1,90746,95300,24,4554
"28",28,91637,27,91630,91663,"left",1,90746,95300,24,4554
"29",29,91670,28,91664,91697,"right",1,90746,95300,24,4554
"30",30,91703,29,91698,91731,"right",1,90746,95300,24,4554
"31",31,91736,30,91732,91765,"right",1,90746,95300,24,4554
